"","mice_name","date_expe","mice","AGE","AGE_MONTHS","REMAINTIME","PRED","BW","BT","FAT","FINKCALs","GLY","P1","P3","Dim.1","STATUS","P5","sample_name_vero"
"117","C57_F_30",2022-02-15,30,866,28.4,81,"under60",22.25,36.2,1.039,9.18225,132,NA,NA,-2.24280615315162,"S",18.995,NA
"118","C57_F_34",2022-06-03,34,974,31.9,4,"above60",34.29,35.1,0,9.399285,76,NA,NA,-2.42283984289651,"S",NA,NA
"119","C57_F_35",2022-03-29,35,908,29.8,41,"above60",25.08,35.5,0.272,9.43824,100,NA,NA,-2.75077111451522,"S",62.878,NA
"120","C57_F_38",2022-07-25,38,1026,33.6,32,"above60",26.36,36.7,2.354,6.74478,121,NA,NA,-2.03359278850804,"S",27.242,NA
"121","C57_F_39",2022-04-22,39,932,30.6,17,"above60",24.43,37.3,0,11.11887,84,NA,NA,-2.27886171452748,"S",33.33,NA
"122","C57_F_41",2022-06-20,41,991,32.5,12,"above60",26.82,36.2,1.215,9.48276,111,NA,NA,-2.05710039870846,"S",30.893,NA
"123","C57_F_42",2022-07-07,42,1008,33,76,"under60",22.68,36.3,1.867,9.19338,127,NA,NA,-2.13263444970167,"S",18.128,NA
"124","C57_F_45",2021-10-12,45,740,24.3,19,"above60",25.44,33.3,0,NA,98,NA,NA,-4.07911011832021,"S",42.423,NA
"125","C57_F_46",2022-03-08,46,887,29.1,49,"above60",21.85,35.2,1.222,9.95022,141,NA,NA,-2.30613906978404,"S",30.079,NA
"126","C57_F_48",2022-09-05,48,1068,35,21,"above60",28.36,35.7,0.106,8.69253,121,NA,NA,-2.19299317691864,"S",33.575,NA
"127","C57_F_5",2021-11-03,5,762,25,28,"above60",18.72,37.1,1.043,8.397585,114,NA,NA,-2.69965753742682,"S",26.682,NA
"128","C57_F_6",2021-12-14,6,803,26.3,0,"above60",20.9,28.8,0.703,NA,NA,NA,NA,-7.56631657942667,"S",NA,NA
"129","C57_M_1",2021-11-18,1,1034,33.9,18,"above31",31.27,36.4,2.85,5.5043565255,126,NA,NA,-2.10686232563444,"S",NA,NA
"130","C57_M_10",2021-10-18,10,1003,32.9,10,"above31",25.3,36,NA,4.915692495,111,NA,NA,-3.83408980423954,"S",NA,NA
"131","C57_M_12",2022-01-11,12,1088,35.7,72,"under31",36.08,36.2,2.92,1.9703255355,122,NA,NA,-2.70605642003583,"S",NA,NA
"132","C57_M_13",2021-10-05,13,990,32.5,13,"above31",26.2,35.9,NA,NA,115,NA,NA,-2.56883449005421,"S",NA,NA
"133","C57_M_15",2021-05-04,15,836,27.4,0,"above31",29.33,34.6,1.89,NA,NA,NA,NA,-2.27272178477293,"S",NA,NA
"134","C57_M_17",2021-03-11,17,782,25.6,123,"under31",23.7,35.9,2.75,6.8793400305,137,NA,NA,-2.51587581271463,"S",20.513,NA
"135","C57_M_18",2021-05-18,18,850,27.9,93,"under31",27.93,36.8,1.9,NA,107,NA,NA,-2.54482585328514,"S",20.859,NA
"136","C57_M_19",2021-04-20,19,822,27,102,"under31",30.7,35.2,2.65,NA,119,NA,NA,-1.96409382832328,"S",NA,NA
"137","C57_M_20",2021-07-28,20,921,30.2,16,"above31",30.91,36.1,1.7,8.178493176,121,NA,NA,-1.93612685805471,"S",NA,NA
"138","C57_M_21",2021-06-01,21,864,28.3,144,"under31",28.08,35.8,2.98,NA,125,NA,NA,-1.89184087217039,"S",21.17,NA
"139","C57_M_23",2021-03-11,23,782,25.6,395,"under31",24.6,37.3,2.5,NA,126,NA,NA,-1.87934805151944,"S",24.919,NA
"140","C57_M_24",2021-11-18,24,1034,33.9,3,"above31",28.1,35.3,1.96,4.9578891075,122,NA,NA,-3.35390935133715,"S",NA,NA
"141","C57_M_25",2021-07-13,25,906,29.7,2,"above31",30.05,35.1,1.74,NA,88,NA,NA,-3.68540014109572,"S",NA,NA
"142","C57_M_26",2021-11-02,26,1018,33.4,7,"above31",29.2,35.6,1.98,NA,110,NA,NA,-2.62548580132627,"S",NA,NA
"143","C57_M_27",2021-06-01,27,864,28.3,70,"under31",31.9,35.2,2.78,NA,108,NA,NA,-2.30062701380882,"S",18.669,NA
"144","C57_M_29",2021-02-23,29,766,25.1,185,"under31",29.5,34.7,3.86,NA,119,NA,NA,-1.83336772839097,"S",NA,NA
"145","C57_M_3",2021-02-17,3,760,24.9,113,"under31",26.3,34.9,1.93,7.015362543,111,NA,NA,-3.44421405587822,"S",17.071,NA
"146","C57_M_31",2021-07-13,31,906,29.7,12,"above31",29.48,35.8,2.7,NA,114,NA,NA,-2.15131471343566,"S",NA,NA
"147","C57_M_33",2021-10-05,33,990,32.5,5,"above31",28,33.1,NA,NA,118,NA,NA,-2.82456970480457,"S",NA,NA
"148","C57_M_34",2021-10-18,34,1003,32.9,2,"above31",32.9,34,NA,1.1986826355,NA,NA,NA,-4.3403304909312,"S",NA,NA
"149","C57_M_35",2021-08-11,35,935,30.7,2,"above31",36.2,34.8,3.29,NA,63,NA,NA,-3.71616080561417,"S",NA,NA
"150","C57_M_43",2021-04-07,43,809,26.5,2,"above31",28.5,32,2.17,NA,NA,NA,NA,-3.41350312379606,"S",NA,NA
"151","C57_M_44",2021-04-07,44,809,26.5,13,"above31",27.6,34.4,2.23,NA,112,NA,NA,-2.79587915835262,"S",43.05,NA
"152","C57_M_5",2021-10-05,5,990,32.5,13,"above31",29,36,NA,NA,119,NA,NA,-1.83597242465097,"S",NA,NA
"153","C57_M_6",2021-11-02,6,1018,33.4,27,"above31",28.3,35.7,1.98,NA,112,NA,NA,-2.60931495816321,"S",NA,NA
"154","C57_M_9",2021-07-13,9,906,29.7,17,"above31",34.02,35.6,2.15,NA,101,NA,NA,-2.457716144386,"S",NA,NA
